loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,deviceOrientation,label
1539477677.462843,1,0,0,1539477675.999972,37.76694172531158,-121.9585836121086,132.5039,0,210.9375,4,5,-9999,1539477676.911569,23.82683944702148,-9.935954093933105,-39.14438247680664,349.2247314453125,335.876220703125,15,14862.15510566667,1,2,1539477672.325445,14864.326695,0,-43.75946,99.32137,5,0
1539477678.466778,2,0,0,1539477677.99997,37.76691201146484,-121.9586471469346,132.3824,0,244.6875,4,5,-9999,1539477677.914934,23.7213134765625,-14.1575984954834,-37.6541862487793,343.0733947753906,329.7248840332031,15,14862.15510566667,1,2,1539477672.325445,14865.275997,0,-43.76474,99.32141,1,0
1539477679.469827,3,0,0,1539477677.99997,37.76691201146484,-121.9586471469346,132.3824,0,244.6875,4,5,-9999,1539477678.918162,9.258201599121094,-19.94802093505859,-41.09766387939453,316.1378479003906,302.7893371582031,15,14862.15510566667,1,2,1539477672.325445,14866.225276,0,-43.76474,99.32141,1,0
1539477680.493901,4,0,0,1539477679.999968,37.76691884271592,-121.9586517569813,132.2493,1.33,24.9609375,4,5,-9999,1539477679.921518,-26.44086074829102,12.38915348052979,-37.20054626464844,306.864990234375,293.5164794921875,15,14862.15510566667,1,2,1539477672.325445,14867.174608,0,-43.77267,99.32151,1,0
1539477681.549378,5,0,0,1539477679.999968,37.76691884271592,-121.9586517569813,132.2493,1.33,24.9609375,4,5,-9999,1539477680.924799,-31.2426700592041,-30.08656883239746,12.82901954650879,222.0085754394531,208.6600494384766,15,14862.15510566667,1,2,1539477672.325445,14868.123809,0,-43.77267,99.32151,1,0
1539477682.479459,6,0,0,1539477681.999966,37.76690178554297,-121.9586769865099,132.228,1.33,254.53125,4,5,-9999,1539477681.92811,-26.4011058807373,-36.90095138549805,7.236550331115723,246.7812347412109,233.4327087402344,15,14862.15510566667,1,2,1539477672.325445,14869.073015,0,-43.83609,99.32228,1,0
1539477683.483375,7,0,0,1539477682.999966,37.76688896123112,-121.9587054849807,132.0375,1.45,256.9921875,4,5,-9999,1539477682.931657,-43.2156867980957,-17.08868217468262,3.669594764709473,266.3785705566406,253.0300598144531,15,14862.15510566667,1,2,1539477672.325445,14870.022251,0,-43.85458,99.32249,1,0
1539477684.519305,8,0,0,1539477682.999966,37.76688896123112,-121.9587054849807,132.0375,1.45,256.9921875,4,5,-9999,1539477683.934918,-46.77655792236328,5.081974506378174,-5.660332679748535,278.2073364257812,264.8588256835938,15,14873.713330625,1,2,1539477683.88367,14870.971434,0,-43.918,99.32322,1,0
1539477685.489998,9,0,0,1539477684.999963,37.76688757821709,-121.9587463048491,131.8143,2.34,273.1640625,4,5,-9999,1539477684.938569,-43.02561569213867,13.49100303649902,-13.92245674133301,284.3910217285156,271.0425109863281,15,14873.713330625,1,2,1539477683.88367,14872.870328,0,-44.12146,99.32565,1,0
1539477686.493536,10,0,0,1539477684.999963,37.76688757821709,-121.9587463048491,131.8143,2.34,273.1640625,4,5,-9999,1539477685.941613,-45.34549713134766,6.453109264373779,-11.75442504882812,288.5591735839844,275.2106628417969,15,14875.966777,1,2,1539477686.137117,14873.819301,0,-44.15317,99.32603,1,0
1539477687.496747,11,0,0,1539477686.999962,37.76690270755232,-121.958761727551,131.8779,0.65,209.53125,4,5,-9999,1539477686.944889,-45.71955871582031,-7.560174942016602,-10.1136589050293,276.3519592285156,263.0034484863281,15,14875.966777,1,2,1539477686.137117,14874.768067,0,-44.21394,99.32674,1,0
1539477688.499766,12,0,0,1539477686.999962,37.76690270755232,-121.958761727551,131.8779,0.65,209.53125,4,5,-9999,1539477687.948321,-34.03650665283203,-31.23506355285645,4.261645317077637,255.1261444091797,241.7776184082031,15,14877.88722241667,1,2,1539477688.057562,14875.716798,0,-44.24829,99.32714,1,0
